Line Item Value,Weight (Kilograms),Freight Cost (USD),Processing Time (Days),Shipment Mode_Truck,"Country_Congo, DRC",Country_C̫te d'Ivoire,Country_Mozambique,Country_Uganda,Country_Zambia,Delivery Quarter_1,Delivery Quarter_2,Delivery Quarter_3,Delivery Quarter_4,Vendor_encoded,Delayed
551.0,13.0,780.34,24.0,False,False,True,False,False,False,False,True,False,False,2,0
6200.0,358.0,4521.5,24.0,False,False,False,False,False,False,False,False,False,True,668,0
40000.0,171.0,1653.78,24.0,False,False,True,False,False,False,False,False,True,False,21,0
127360.8,1855.0,16007.06,24.0,False,False,False,False,False,False,False,False,True,False,9,0
121600.0,7590.0,45450.08,24.0,False,False,False,False,False,False,False,False,True,False,668,0
2225.6,504.0,5920.42,24.0,False,False,False,False,False,False,False,False,True,False,668,0
4374.0,328.0,5869.655000000001,24.0,False,False,False,False,False,True,True,False,False,False,68,0
60834.55,1478.0,6212.41,24.0,False,False,False,False,False,False,False,False,False,True,668,0
532.35,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,False,False,True,668,0
115080.0,643.0,5869.655000000001,24.0,False,False,False,False,False,True,True,False,False,False,347,0
115080.0,643.0,5869.655000000001,24.0,False,False,False,False,False,True,True,False,False,False,347,0
100000.0,853.0,13569.49,24.0,False,False,False,False,False,True,True,False,False,False,356,0
850.0,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,2,0
99800.0,7416.0,64179.42,24.0,False,False,False,False,False,False,True,False,False,False,175,0
60000.0,256.0,1760.32,24.0,False,False,False,False,False,False,True,False,False,False,21,0
14764.5,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,67,0
120000.0,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,True,False,False,3,0
33000.0,710.0,3120.7,24.0,False,False,False,False,False,False,True,False,False,False,12,0
8964.08,162.0,912.96,24.0,False,False,False,False,False,False,False,True,False,False,67,0
80000.0,341.0,2682.47,24.0,False,False,False,False,False,False,False,True,False,False,21,0
202500.0,2278.0,15893.71,24.0,False,False,False,False,False,False,False,True,False,False,109,0
140581.5,2126.0,5869.655000000001,24.0,False,False,True,False,False,False,False,False,False,True,67,0
1920.0,941.0,4193.49,24.0,False,False,False,False,False,False,False,False,False,True,668,0
41095.0,117.0,1767.38,24.0,False,False,False,False,False,False,False,False,True,False,347,0
53992.5,171.0,3518.38,24.0,False,False,False,False,False,False,False,False,True,False,754,1
8750.0,60.0,3097.85,24.0,False,False,False,False,False,False,False,False,True,False,56,0
200000.0,3335.0,27869.74,24.0,False,False,False,False,False,False,False,False,False,True,98,0
200000.0,3335.0,28461.1,24.0,False,False,False,False,False,False,False,False,False,True,98,0
200000.0,3335.0,28359.8,24.0,False,False,False,False,False,False,False,False,False,True,98,0
99200.0,4228.0,12237.61,24.0,False,False,False,False,False,False,False,False,False,True,668,0
270000.0,3263.0,20885.78,24.0,False,False,False,False,False,False,False,False,False,True,109,0
317.6,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,38,0
17000.0,76.0,2282.57,24.0,False,False,False,False,False,False,True,False,False,False,4,0
3352.0,23.0,2149.05,24.0,False,False,False,False,False,False,True,False,False,False,9,0
15.0,99.0,0.75,24.0,False,False,False,False,False,False,True,False,False,False,754,0
6.5,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,754,0
340.0,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,38,0
278.0,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,356,0
36176.0,509.0,5446.51,24.0,False,False,True,False,False,False,False,True,False,False,28,0
13180.0,206.0,2656.12,24.0,False,False,True,False,False,False,True,False,False,False,98,0
2.4,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,True,False,False,754,0
2.13,14.0,360.0,24.0,False,False,False,False,False,False,False,False,True,False,754,0
13399.25,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,True,False,False,False,3,0
117631.66,373.0,4112.46,24.0,False,False,False,False,False,False,False,False,False,True,754,0
38475.0,483.0,5468.88,24.0,False,False,False,False,False,False,False,True,False,False,109,0
10222.58,33.0,1715.17,24.0,False,False,False,False,False,False,False,True,False,False,754,0
96432.0,654.0,4051.34,24.0,False,False,False,False,False,False,False,True,False,False,317,0
405.06,1047.0,5869.655000000001,24.0,True,False,False,False,False,False,False,True,False,False,715,0
870.0,1047.0,5869.655000000001,24.0,True,False,False,False,False,False,False,True,False,False,715,0
2800.0,81.0,2211.05,24.0,False,False,False,False,False,False,False,False,True,False,67,0
77.1,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,True,False,False,715,0
439785.02,1251.0,16090.22,24.0,False,False,False,False,False,False,False,False,True,False,754,0
54.98,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,False,True,False,754,0
691.42,1047.0,5869.655000000001,24.0,False,False,False,False,False,False,False,True,False,False,3,0
18359.04,1537.0,13507.92,24.0,False,False,False,False,False,False,False,False,True,False,317,0
103.4,1047.0,5869.655000000001,24.0,True,False,False,False,False,False,False,False,True,False,715,0
1906.0,1047.0,5869.655000000001,24.0,True,False,False,False,False,False,False,False,True,False,715,0
