iter	Passed	Remaining
0	4	2121
1	8	2045
2	12	2049
3	16	2018
4	20	2017
5	24	2006
6	28	2025
7	32	2020
8	37	2037
9	41	2045
10	45	2037
11	49	2030
12	54	2039
13	58	2043
14	62	2030
15	67	2034
16	71	2029
17	75	2026
18	79	2018
19	83	2014
20	88	2014
21	92	2013
22	96	2003
23	100	1997
24	104	1990
25	108	1983
26	112	1974
27	116	1968
28	120	1958
29	124	1944
30	127	1930
31	131	1922
32	135	1915
33	139	1908
34	143	1905
35	148	1908
36	152	1909
37	156	1906
38	160	1902
39	165	1902
40	169	1897
41	173	1891
42	177	1884
43	181	1881
44	185	1876
45	189	1872
46	193	1866
47	197	1862
48	202	1860
49	205	1853
50	209	1848
51	213	1841
52	217	1837
53	222	1834
54	225	1828
55	229	1822
56	233	1814
57	237	1808
58	240	1799
59	244	1794
60	248	1787
61	252	1782
62	256	1776
63	259	1767
64	263	1761
65	266	1753
66	270	1749
67	274	1743
68	277	1736
69	281	1730
70	285	1725
71	289	1721
72	293	1714
73	296	1708
74	300	1703
75	304	1697
76	308	1694
77	312	1688
78	315	1683
79	319	1677
80	323	1672
81	326	1666
82	330	1660
83	334	1654
84	337	1649
85	342	1647
86	346	1643
87	350	1639
88	354	1635
89	358	1631
90	362	1627
91	365	1622
92	369	1616
93	373	1612
94	377	1609
95	381	1605
96	385	1600
97	388	1595
98	393	1592
99	396	1587
100	400	1583
101	404	1579
102	408	1576
103	412	1570
104	416	1565
105	419	1559
106	423	1554
107	427	1550
108	430	1545
109	434	1540
110	438	1536
111	441	1531
112	445	1526
113	449	1521
114	453	1517
115	456	1512
116	460	1508
117	464	1504
118	468	1501
119	473	1498
120	476	1493
121	480	1489
122	484	1485
123	488	1481
124	492	1477
125	496	1472
126	500	1470
127	505	1468
128	509	1464
129	513	1462
130	518	1461
131	522	1457
132	526	1453
133	530	1449
134	534	1446
135	538	1441
136	542	1438
137	546	1434
138	550	1430
139	555	1427
140	559	1424
141	563	1420
142	567	1416
143	571	1412
144	576	1410
145	580	1407
146	584	1404
147	588	1399
148	592	1395
149	596	1391
150	599	1385
151	603	1380
152	606	1376
153	610	1371
154	614	1367
155	617	1362
156	621	1358
157	625	1353
158	629	1349
159	632	1344
160	636	1340
161	640	1335
162	644	1331
163	647	1327
164	651	1323
165	655	1319
166	659	1314
167	662	1309
168	666	1305
169	670	1301
170	674	1296
171	678	1293
172	682	1289
173	686	1285
174	689	1281
175	693	1275
176	697	1272
177	700	1267
178	704	1262
179	707	1257
180	711	1254
181	715	1249
182	719	1245
183	722	1240
184	726	1236
185	730	1232
186	733	1227
187	737	1223
188	740	1218
189	744	1214
190	747	1209
191	751	1205
192	755	1201
193	758	1196
194	762	1192
195	765	1187
196	768	1182
197	773	1179
198	776	1174
199	780	1170
200	783	1165
201	787	1161
202	791	1157
203	794	1152
204	798	1148
205	801	1144
206	805	1140
207	809	1136
208	813	1132
209	816	1128
210	820	1124
211	824	1119
212	827	1115
213	831	1110
214	835	1106
215	838	1102
216	842	1098
217	845	1093
218	849	1089
219	853	1085
220	856	1081
221	859	1076
222	863	1072
223	867	1068
224	870	1064
225	874	1060
226	878	1055
227	881	1051
228	885	1047
229	888	1043
230	892	1039
231	896	1035
232	899	1031
233	903	1026
234	906	1022
235	910	1018
236	913	1013
237	917	1010
238	921	1005
239	924	1001
240	928	997
241	932	993
242	935	989
243	939	985
244	942	981
245	946	977
246	949	973
247	953	968
248	957	964
249	960	960
250	964	957
251	969	953
252	973	950
253	977	947
254	981	943
255	985	939
256	989	935
257	993	931
258	996	927
259	999	923
260	1004	919
261	1007	915
262	1011	911
263	1015	907
264	1019	903
265	1023	899
266	1026	896
267	1031	892
268	1035	888
269	1038	885
270	1042	880
271	1046	876
272	1050	873
273	1054	869
274	1058	865
275	1061	861
276	1065	858
277	1069	854
278	1073	850
279	1077	846
280	1080	842
281	1084	838
282	1087	833
283	1091	830
284	1094	825
285	1098	821
286	1101	817
287	1104	813
288	1109	809
289	1113	806
290	1117	802
291	1120	798
292	1124	794
293	1128	790
294	1131	786
295	1135	782
296	1138	778
297	1142	774
298	1145	770
299	1149	766
300	1153	762
301	1157	758
302	1160	754
303	1164	750
304	1168	746
305	1171	742
306	1174	738
307	1178	734
308	1182	730
309	1186	727
310	1189	723
311	1193	718
312	1196	715
313	1200	711
314	1204	707
315	1208	703
316	1212	699
317	1215	695
318	1219	692
319	1223	688
320	1227	684
321	1231	680
322	1234	676
323	1239	673
324	1242	669
325	1246	665
326	1249	661
327	1253	657
328	1257	653
329	1261	649
330	1265	645
331	1268	642
332	1272	638
333	1276	634
334	1280	630
335	1284	627
